Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019/03/10,06,CA,06081,San Mateo County,169208,597365,2580445,729881,697236,306673,352525,344098,105645,24732,11685,2777,5193,06-06081-20190310,10,3
County,2019/03/10,06,CA,06085,Santa Clara County,407583,1520269,6554796,1825764,1720979,797531,1027979,772831,277892,92571,23395,6056,9798,06-06085-20190310,10,3
County,2019/03/11,06,CA,06001,Alameda County,354361,1316968,6016159,1689879,1473862,678929,789929,996278,300050,53836,18082,5607,9707,06-06001-20190311,10,3
County,2019/03/11,06,CA,06075,San Francisco County,258531,623018,2878035,991927,774757,367727,405410,206081,94373,21196,7097,3806,5661,06-06075-20190311,10,3
County,2019/03/11,06,CA,06081,San Mateo County,161026,605547,2884570,830977,745929,330179,407753,423285,108908,19998,8748,2770,6023,06-06081-20190311,10,3
County,2019/03/11,06,CA,06085,Santa Clara County,386812,1541040,7228013,2009296,1802839,810839,1181826,974425,327203,83104,18626,6496,13359,06-06085-20190311,10,3
County,2019/03/12,06,CA,06001,Alameda County,355096,1316233,5778211,1643931,1404874,636137,765860,968561,280502,48392,16550,4865,8539,06-06001-20190312,10,3
County,2019/03/12,06,CA,06075,San Francisco County,260631,620918,2739761,951929,761023,345727,377108,187203,84350,17979,5990,3551,4901,06-06075-20190312,10,3
County,2019/03/12,06,CA,06081,San Mateo County,160293,606280,2759167,789089,713328,311244,400954,409117,102979,17653,6768,2554,5481,06-06081-20190312,10,3
County,2019/03/12,06,CA,06085,Santa Clara County,385840,1542012,6948062,1964034,1732529,776851,1127388,930708,307409,75403,16558,6088,11094,06-06085-20190312,10,3
County,2019/03/13,06,CA,06001,Alameda County,352048,1319281,5881213,1596974,1482449,651339,780020,1005758,289035,48128,15496,4670,7344,06-06001-20190313,10,3
County,2019/03/13,06,CA,06075,San Francisco County,262543,619006,2845434,970983,768657,371553,402724,209192,90700,18488,5466,2446,5225,06-06075-20190313,10,3
County,2019/03/13,06,CA,06081,San Mateo County,161058,605515,2874015,801950,766344,331451,406775,425791,108721,17839,7326,2571,5247,06-06081-20190313,10,3
County,2019/03/13,06,CA,06085,Santa Clara County,385917,1541935,7081473,1952188,1763544,801986,1178665,957994,317788,76068,16146,5589,11505,06-06085-20190313,10,3
County,2019/03/14,06,CA,06085,Santa Clara County,384480,1543372,7238635,1942348,1809665,827554,1222097,988491,335263,78637,17095,5935,11550,06-06085-20190314,10,3
County,2019/03/14,06,CA,06081,San Mateo County,161469,605104,2901684,799282,765554,337120,427567,428799,108291,19663,7689,2566,5153,06-06081-20190314,10,3
County,2019/03/14,06,CA,06075,San Francisco County,257373,624176,2884786,964203,819353,376823,398234,201981,90537,19364,5565,3242,5484,06-06075-20190314,10,3
County,2019/03/14,06,CA,06001,Alameda County,355504,1315825,5940660,1593123,1491432,645338,796039,1030725,304958,50146,16823,4731,7345,06-06001-20190314,10,3
County,2019/03/15,06,CA,06085,Santa Clara County,374543,1553309,7755243,2075416,1959902,889695,1306309,1054855,342214,84935,22833,6700,12384,06-06085-20190315,10,3
County,2019/03/15,06,CA,06081,San Mateo County,156129,610444,3060563,840781,782120,360234,450219,470567,115173,23496,9420,3111,5442,06-06081-20190315,10,3
County,2019/03/15,06,CA,06075,San Francisco County,254017,627532,3078620,1031469,846410,391320,445063,230519,93634,22740,7812,3585,6068,06-06075-20190315,10,3
County,2019/03/15,06,CA,06001,Alameda County,343722,1327607,6469199,1746856,1616153,723456,883578,1090049,314800,59676,20456,5700,8475,06-06001-20190315,10,3
County,2019/03/16,06,CA,06001,Alameda County,354764,1316565,6670917,1872224,1725627,764545,872805,1023798,312053,65411,21794,5587,7073,06-06001-20190316,10,3
County,2019/03/16,06,CA,06075,San Francisco County,254936,626613,3371661,1182402,941541,417743,471421,228239,90236,24707,7761,3225,4386,06-06075-20190316,10,3
County,2019/03/16,06,CA,06081,San Mateo County,160441,606132,3167026,897561,844506,378901,449566,425729,122963,27872,12621,2574,4733,06-06081-20190316,10,3
County,2019/03/16,06,CA,06085,Santa Clara County,384523,1543329,7964133,2228834,2036000,907053,1304647,996835,352630,97201,25211,6505,9217,06-06085-20190316,10,3
County,2019/03/17,06,CA,06001,Alameda County,343214,1328115,5893620,1633283,1559147,681381,751582,886800,285337,60905,22625,5125,7435,06-06001-20190317,11,3
County,2019/03/17,06,CA,06075,San Francisco County,248656,632893,2886652,1001831,811464,361261,377601,209811,81783,25556,8756,3142,5447,06-06075-20190317,11,3
County,2019/03/17,06,CA,06081,San Mateo County,156077,610496,2818457,811251,760729,330188,372667,385585,111362,27246,11098,2916,5415,06-06081-20190317,11,3
County,2019/03/17,06,CA,06085,Santa Clara County,371986,1555866,7104216,2010169,1849739,840024,1118962,841604,306260,94874,25809,5770,11005,06-06085-20190317,11,3
County,2019/03/18,06,CA,06001,Alameda County,328557,1342772,5994838,1684157,1474841,641121,770096,1020914,314278,55361,20109,5419,8542,06-06001-20190318,11,3
County,2019/03/18,06,CA,06075,San Francisco County,246453,635096,2804764,964536,759071,351844,388845,210887,92904,20105,6694,3255,6623,06-06075-20190318,11,3
County,2019/03/18,06,CA,06081,San Mateo County,149753,616820,2872561,819083,746574,318528,399420,435359,113463,22249,9353,2922,5610,06-06081-20190318,11,3
County,2019/03/18,06,CA,06085,Santa Clara County,360021,1567831,7239149,2048746,1780188,783691,1184355,976424,336034,87581,22617,6665,12848,06-06085-20190318,11,3
County,2019/03/19,06,CA,06001,Alameda County,329271,1342058,6183478,1751404,1518351,658176,803539,1061250,310521,50196,17544,4809,7688,06-06001-20190319,11,3
County,2019/03/19,06,CA,06075,San Francisco County,244832,636717,2967237,1041015,807369,371857,404605,215473,91305,19832,6118,3215,6448,06-06075-20190319,11,3
