Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020/03/10,06,CA,06075,San Francisco County,223536,658013,2449363,829092,652891,309569,340579,196538,86651,21953,6678,2207,3205,06-06075-20200310,10,3
County,2020/03/10,06,CA,06001,Alameda County,321488,1349841,5665566,1792480,1343806,587699,704692,876327,278752,53725,18470,5226,4389,06-06001-20200310,10,3
County,2020/03/11,06,CA,06085,Santa Clara County,344615,1583237,7122418,2257151,1600895,713155,1032463,936108,383132,138730,42038,11754,6992,06-06085-20200311,10,3
County,2020/03/11,06,CA,06081,San Mateo County,143101,623472,3176195,1003833,837387,351153,398134,421132,122202,23757,9548,5207,3842,06-06081-20200311,10,3
County,2020/03/11,06,CA,06075,San Francisco County,185268,696281,2921692,1050145,775882,354341,384708,212444,94357,27657,10688,4704,6766,06-06075-20200311,10,3
County,2020/03/11,06,CA,06001,Alameda County,290328,1381001,6573949,2117633,1545097,661171,790736,986008,358029,71921,27611,5653,10090,06-06001-20200311,10,3
County,2020/03/12,06,CA,06001,Alameda County,297399,1373930,6369889,2078394,1495217,642185,753356,921405,358649,74733,27505,11057,7388,06-06001-20200312,10,3
County,2020/03/12,06,CA,06075,San Francisco County,193491,688058,2773803,960125,727375,335609,379114,212234,102207,36752,11100,4659,4628,06-06075-20200312,10,3
County,2020/03/12,06,CA,06081,San Mateo County,148326,618247,3077395,978417,799947,322785,399575,404220,129727,21987,10778,5732,4227,06-06081-20200312,10,3
County,2020/03/12,06,CA,06085,Santa Clara County,362389,1565463,7005926,2305428,1575507,711407,996087,853001,382573,128166,35469,12820,5468,06-06085-20200312,10,3
County,2020/03/13,06,CA,06001,Alameda County,296361,1374968,6764601,2203279,1649472,707759,789817,940943,335516,89372,30505,9554,8384,06-06001-20200313,10,3
County,2020/03/13,06,CA,06075,San Francisco County,192902,688647,3021159,1074310,820649,321661,416907,234387,95909,35863,11098,4560,5815,06-06075-20200313,10,3
County,2020/03/13,06,CA,06081,San Mateo County,146828,619745,3303293,1057604,884035,353769,459476,389942,108136,25514,15982,3941,4894,06-06081-20200313,10,3
County,2020/03/13,06,CA,06085,Santa Clara County,359007,1568845,7404256,2362354,1832489,735612,1052140,909786,326237,127866,40348,11605,5819,06-06085-20200313,10,3
County,2020/03/14,06,CA,06001,Alameda County,374945,1296384,5525136,1631962,1481602,613680,628138,756087,276650,86973,30846,9682,9516,06-06001-20200314,10,3
County,2020/03/14,06,CA,06075,San Francisco County,233506,648043,2913303,1020981,805828,340818,377118,211082,94626,38309,12610,4767,7164,06-06075-20200314,10,3
County,2020/03/14,06,CA,06081,San Mateo County,185186,581387,2889710,903255,849651,295703,364038,312857,106606,30373,15686,6198,5343,06-06081-20200314,10,3
County,2020/03/14,06,CA,06085,Santa Clara County,445210,1482642,6211563,1867505,1577499,673194,882637,727128,280991,141439,42689,12478,6003,06-06085-20200314,10,3
County,2020/03/15,06,CA,06001,Alameda County,476866,1194463,4665822,1497086,1267061,526459,555718,563524,178060,48175,18616,5871,5252,06-06001-20200315,11,3
County,2020/03/15,06,CA,06075,San Francisco County,295988,585561,2263200,784227,634613,276558,302209,166093,61139,23237,9079,2957,3088,06-06075-20200315,11,3
County,2020/03/15,06,CA,06081,San Mateo County,226645,539928,2150329,644414,611059,243850,272119,262512,75971,22452,11223,3839,2890,06-06081-20200315,11,3
County,2020/03/15,06,CA,06085,Santa Clara County,559162,1368690,5311362,1622493,1474635,612135,738698,572012,187418,74967,19978,5953,3073,06-06085-20200315,11,3
County,2020/03/16,06,CA,06001,Alameda County,401755,1269574,5298044,1673541,1320573,557721,640276,758669,255410,60356,19073,6663,5762,06-06001-20200316,11,3
County,2020/03/16,06,CA,06075,San Francisco County,270737,610812,2483850,881231,667461,293144,340957,180551,76228,27565,11645,2377,2691,06-06075-20200316,11,3
County,2020/03/16,06,CA,06081,San Mateo County,195138,571435,2443197,763912,654583,265084,321698,310642,88007,24417,8820,3574,2460,06-06081-20200316,11,3
County,2020/03/16,06,CA,06085,Santa Clara County,482803,1445049,6041529,1901178,1525602,659662,845206,741443,252798,83223,21985,7041,3391,06-06085-20200316,11,3
County,2020/03/17,06,CA,06001,Alameda County,500368,1170961,4364714,1349933,1108023,433920,509908,642313,228539,58990,21263,6579,5246,06-06001-20200317,11,3
County,2020/03/17,06,CA,06075,San Francisco County,327901,553648,2057925,717373,564534,253707,275492,139177,66276,23507,11307,3723,2829,06-06075-20200317,11,3
County,2020/03/17,06,CA,06081,San Mateo County,247241,519332,2100350,661808,575654,231333,274568,238250,78257,23237,9796,4662,2785,06-06081-20200317,11,3
County,2020/03/17,06,CA,06085,Santa Clara County,600277,1327575,5118399,1646768,1289603,534170,696458,609325,231520,79602,19769,7918,3266,06-06085-20200317,11,3
County,2020/03/18,06,CA,06001,Alameda County,532995,1138334,4034025,1165979,1029403,403628,490167,617093,226029,65475,24285,6522,5444,06-06001-20200318,11,3
County,2020/03/18,06,CA,06075,San Francisco County,344986,536563,1966416,648944,555800,233235,264976,150974,70156,25518,9554,3756,3503,06-06075-20200318,11,3
County,2020/03/18,06,CA,06081,San Mateo County,264494,502079,1938559,613273,538606,194002,249021,232716,72092,21535,11151,3088,3075,06-06081-20200318,11,3
County,2020/03/18,06,CA,06085,Santa Clara County,631947,1295905,4877100,1574111,1211968,487867,667705,593786,237717,70210,23103,7703,2930,06-06085-20200318,11,3
County,2020/03/19,06,CA,06085,Santa Clara County,630402,1297450,4815562,1539349,1207304,498642,652926,577488,238166,69982,22416,6177,3112,06-06085-20200319,11,3
County,2020/03/19,06,CA,06081,San Mateo County,266641,499932,1864381,557972,529253,200138,256188,221927,62463,20644,10827,2601,2368,06-06081-20200319,11,3
County,2020/03/19,06,CA,06075,San Francisco County,345373,536176,1930938,653354,528230,229011,244858,162798,74886,21281,10937,2410,3173,06-06075-20200319,11,3
County,2020/03/19,06,CA,06001,Alameda County,534636,1136693,3974851,1186079,987050,416779,472172,603256,216408,54913,25743,6546,5905,06-06001-20200319,11,3
County,2020/03/20,06,CA,06001,Alameda County,537645,1133684,4010725,1193073,1018628,422605,489647,578553,214144,53587,27001,7441,6046,06-06001-20200320,11,3
County,2020/03/20,06,CA,06075,San Francisco County,347099,534450,1952330,627407,559691,231007,259661,158545,74735,26456,8290,3498,3040,06-06075-20200320,11,3
County,2020/03/20,06,CA,06081,San Mateo County,263365,503208,1846072,558919,524797,183824,249240,226079,68892,19936,8743,2861,2781,06-06081-20200320,11,3
County,2020/03/20,06,CA,06085,Santa Clara County,642286,1285566,4711401,1497852,1168615,497523,641485,584070,216664,69521,25081,6904,3686,06-06085-20200320,11,3
County,2020/03/21,06,CA,06001,Alameda County,571901,1099428,3679738,1105826,1007573,421643,418920,461550,173493,52619,24426,7236,6452,06-06001-20200321,11,3
County,2020/03/21,06,CA,06075,San Francisco County,351830,529719,1863622,631071,526063,218418,240218,137910,63608,28004,11768,3443,3119,06-06075-20200321,11,3
County,2020/03/21,06,CA,06081,San Mateo County,274515,492058,1748720,528873,508431,189694,225072,189445,73128,19125,11081,2216,1655,06-06081-20200321,11,3
County,2020/03/21,06,CA,06085,Santa Clara County,682383,1245469,4229735,1265086,1139030,478423,600093,443229,193783,70865,29388,6571,3267,06-06085-20200321,11,3
County,2020/03/22,06,CA,06001,Alameda County,539975,1131354,3158915,977271,892223,345849,342271,389459,135964,39912,24030,6660,5276,06-06001-20200322,12,3
County,2020/03/22,06,CA,06075,San Francisco County,330193,551356,1630752,564721,462125,194448,195907,124692,52946,19766,9109,3904,3134,06-06075-20200322,12,3
County,2020/03/22,06,CA,06081,San Mateo County,263249,503324,1550956,493295,474831,170628,175298,154611,47930,18180,11103,2422,2658,06-06081-20200322,12,3
County,2020/03/22,06,CA,06085,Santa Clara County,636596,1291256,3747336,1178518,1054244,408356,489481,378062,146066,57417,26430,6055,2707,06-06085-20200322,12,3
County,2020/03/23,06,CA,06085,Santa Clara County,597035,1330817,3813753,1086165,939190,416332,568985,511810,200162,60433,22436,5297,2943,06-06085-20200323,12,3
County,2020/03/23,06,CA,06081,San Mateo County,247453,519120,1639038,513441,460236,175309,210634,196525,51877,15477,11090,1793,2656,06-06081-20200323,12,3
County,2020/03/23,06,CA,06075,San Francisco County,326166,555383,1667120,557668,456350,201383,221278,136104,58634,21330,9204,2930,2239,06-06075-20200323,12,3
County,2020/03/23,06,CA,06001,Alameda County,502612,1168717,3355775,1014282,855647,329875,391959,506059,177716,49355,20337,5281,5264,06-06001-20200323,12,3
County,2020/03/24,06,CA,06001,Alameda County,514080,1157249,3309848,946016,865479,342361,391131,505032,177472,49467,23204,4917,4769,06-06001-20200324,12,3
County,2020/03/24,06,CA,06075,San Francisco County,330090,551459,1605304,495135,454604,218244,215239,132662,53999,21733,8550,2816,2322,06-06075-20200324,12,3
County,2020/03/24,06,CA,06081,San Mateo County,257500,509073,1587094,479721,450627,178416,200247,190964,58430,15075,9579,2058,1977,06-06081-20200324,12,3
County,2020/03/24,06,CA,06085,Santa Clara County,615337,1312515,3833908,1127557,941110,421169,556677,511050,192182,55412,20726,5453,2572,06-06085-20200324,12,3
