Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2020 0:00,"9,647,266.16","9,647,266.16","9,647,266.16",248256,0.00
1/2/2020 0:00,"9,305,271.66","9,305,271.66","9,305,271.66",248256,29.40
1/3/2020 0:00,"8,807,537.57","8,807,537.57","8,807,537.57",248256,66.60
1/4/2020 0:00,"7,715,042.46","7,715,042.46","7,715,042.46",248256,66.50
1/5/2020 0:00,"7,049,232.74","7,049,232.74","7,049,232.74",248256,63.50
1/6/2020 0:00,"9,247,739.48","9,247,739.48","9,247,739.48",248256,64.80
1/7/2020 0:00,"9,017,198.44","9,017,198.44","9,017,198.44",248256,65.50
1/8/2020 0:00,"9,478,508.16","9,478,508.16","9,478,508.16",248256,65.30
1/9/2020 0:00,"9,669,427.81","9,669,427.81","9,669,427.81",248256,63.90
1/10/2020 0:00,"9,963,515.11","9,963,515.11","9,963,515.11",248256,62.80
1/11/2020 0:00,"8,382,788.03","8,382,788.03","8,382,788.03",248256,63.90
1/12/2020 0:00,"7,313,107.06","7,313,107.06","7,313,107.06",248256,63.80
1/13/2020 0:00,"9,520,865.39","9,520,865.39","9,520,865.39",248256,62.90
1/14/2020 0:00,"9,799,061.06","9,799,061.06","9,799,061.06",248256,62.50
1/15/2020 0:00,"9,837,815.32","9,837,815.32","9,837,815.32",248256,62.30
1/16/2020 0:00,"9,348,585.81","9,348,585.81","9,348,585.81",248256,62.90
1/17/2020 0:00,"9,908,396.72","9,908,396.72","9,908,396.72",248256,62.60
1/18/2020 0:00,"8,447,660.22","8,447,660.22","8,447,660.22",248256,62.40
1/19/2020 0:00,"7,296,446.60","7,296,446.60","7,296,446.60",248256,62.40
1/20/2020 0:00,"8,225,026.36","8,225,026.36","8,225,026.36",248256,62.50
1/21/2020 0:00,"9,539,910.15","9,539,910.15","9,539,910.15",248256,62.50
1/22/2020 0:00,"9,759,780.36","9,759,780.36","9,759,780.36",248256,60.90
1/23/2020 0:00,"9,910,611.69","9,910,611.69","9,910,611.69",248256,62.40
1/24/2020 0:00,"9,852,930.87","9,852,930.87","9,852,930.87",248250,63.60
1/25/2020 0:00,"8,407,532.27","8,407,532.27","8,407,532.27",248256,60.10
1/26/2020 0:00,"7,466,091.80","7,466,091.80","7,466,091.80",248256,62.50
1/27/2020 0:00,"9,474,802.79","9,474,802.79","9,474,802.79",248256,63.00
1/28/2020 0:00,"9,597,620.85","9,597,620.85","9,597,620.85",248256,62.80
1/29/2020 0:00,"9,667,209.37","9,667,209.37","9,667,209.37",248256,61.60
1/30/2020 0:00,"9,830,785.79","9,830,785.79","9,830,785.79",248256,63.10
1/31/2020 0:00,"9,869,974.91","9,869,974.91","9,869,974.91",248256,62.80
2/1/2020 0:00,"8,290,588.50","8,290,588.50","8,290,588.50",248256,62.90
